,id,Stock,Close Price,Open Price,High Price,Low Price,Volume,Date,high low span,volume change,open less than close,to buy,Prediction
0,0,AAPL,190.15,186.51,191.92,185.77,30648373,43623,0.032342887,0.0,1,0,0
1,1,AAPL,185.22,183.08,185.47,182.1489,22526311,43622,0.017930569,-0.36055890399999996,1,0,0
2,2,AAPL,182.54,184.28,184.99,181.14,29773427,43621,0.021091268,0.243408863,1,0,0
3,3,AAPL,179.64,175.44,179.83,174.52,30967961,43620,0.029559118,0.038573221,1,0,0
4,4,AAPL,173.3,175.6,177.92,170.27,40396069,43619,0.044143104,0.233391719,0,1,1
5,5,AAPL,175.07,176.23,177.99,174.99,27043584,43616,0.017136003,-0.493739476,0,0,1
6,6,AAPL,178.3,177.95,179.23,176.67,21218412,43615,0.014357824,-0.274533834,1,0,0
7,7,AAPL,177.38,176.42,179.35,176.0,28481165,43614,0.018886007,0.25500196399999997,0,0,1
8,0,AXP,121.11,119.87,121.36,119.56,2481787,43623,0.014862522,-10.26130486,1,0,0
9,1,AXP,119.43,118.42,119.64,118.15,2209284,43622,0.012475927,-0.123344486,1,0,0
10,2,AXP,118.12,117.18,118.24,117.01,2568240,43621,0.010413139,0.139767311,1,0,0
11,3,AXP,116.85,115.71,117.0,115.23,3043212,43620,0.015147625,0.156075883,1,0,0
12,4,AXP,114.62,114.56,115.93,113.8944,2968541,43619,0.017759553,-0.025154107999999998,0,0,1
13,5,AXP,114.71,115.77,115.98,114.56,2969059,43616,0.012379043000000001,0.000174466,0,0,0
14,6,AXP,116.74,117.21,117.31,116.105,1882652,43615,0.010322083000000001,-0.577062038,0,0,0
15,7,AXP,117.01,117.71,117.81,116.04,2554183,43614,0.015126912,0.262914208,0,1,1
16,0,BA,353.7,352.3,355.28,352.3,2470084,43623,0.008425219,-0.032493227,1,0,0
17,1,BA,350.64,348.18,351.64,345.58,2582259,43622,0.017282683,0.043440646,1,0,0
18,2,BA,348.75,346.22,353.25,332.49,3188375,43621,0.059526882,0.190101854,1,0,1
19,3,BA,344.62,342.57,346.41,340.12,3592323,43620,0.018251988,0.112447572,1,0,0
20,4,BA,338.89,338.2,339.11,330.67,5148019,43619,0.024904836,0.302193135,0,0,1
21,5,BA,341.61,345.85,345.85,341.36,3217646,43616,0.013143643,-0.599933305,0,1,0
22,6,BA,349.87,350.0,351.92,347.9366,2183884,43615,0.011385372,-0.473359391,0,0,0
23,7,BA,348.8,352.59,352.79,346.05,4160546,43614,0.019323394,0.475096778,0,1,1
24,0,CAT,124.46,124.38,125.63,124.08,2547516,43623,0.0124538,-0.37556780799999995,1,0,0
25,1,CAT,123.39,123.1,123.95,122.2342,3295687,43622,0.013905503,0.22701518699999998,0,0,1
26,2,CAT,123.12,123.4,123.64,121.96,3598662,43621,0.013645224,0.08419101300000001,1,0,0
27,3,CAT,122.08,121.81,122.77,120.75,4060408,43620,0.016546527,0.11371911400000001,1,0,0
28,4,CAT,120.65,119.91,121.69,119.76,4161778,43619,0.015996685,0.024357378,1,0,0
29,5,CAT,119.81,119.79,120.7491,118.74,4711664,43616,0.016769051,0.11670738800000001,0,0,1
30,6,CAT,121.84,121.61,122.6778,121.2775,2878304,43615,0.011492941999999999,-0.636958431,1,0,0
31,7,CAT,121.48,120.5,122.825,120.26,5330040,43614,0.021114587,0.45998454,0,0,1
32,0,CSCO,55.93,55.41,56.3,55.03,17354370,43623,0.022706955,0.718261798,1,0,0
33,1,CSCO,55.1,54.89,55.3,54.21,15927322,43622,0.019782214,-0.089597485,1,0,0
34,2,CSCO,54.75,53.85,54.79,53.75,22521863,43621,0.018995434,0.292806195,1,0,0
35,3,CSCO,53.23,52.48,53.635,52.41,21689299,43620,0.023013337999999998,-0.038385934,1,0,0
36,4,CSCO,51.78,52.05,52.565,51.485,22380491,43619,0.020857473999999997,0.030883683,0,0,1
37,5,CSCO,52.03,52.79,52.88,52.01,20480449,43616,0.016721121999999998,-0.092773454,0,1,1
38,6,CSCO,53.57,53.44,53.78,53.335,12954268,43615,0.008306888,-0.580980801,1,0,0
39,7,CSCO,53.18,53.55,53.55,52.855,19762122,43614,0.013068823,0.34449003,0,1,1
40,0,CVX,121.48,120.74,122.12,120.53,5343069,43623,0.013088573999999999,-4.571547176,1,0,0
41,1,CVX,120.68,118.21,121.155,118.11,7370113,43622,0.025232018999999998,0.275035674,1,0,0
42,2,CVX,117.65,117.87,118.03,116.27,5105963,43621,0.014959626,-0.44343251200000006,1,0,0
43,3,CVX,117.3,116.6,117.68,116.29,5235579,43620,0.011849957,0.024756765,1,0,0
44,4,CVX,115.99,114.7,116.1,114.47,6100999,43619,0.014052936,0.1418489,1,0,0
45,5,CVX,113.85,114.22,115.2,113.72,6899828,43616,0.012999561000000001,0.115775205,0,1,1
46,6,CVX,115.38,116.54,116.74,114.8462,5807929,43615,0.01641359,-0.188001437,0,0,1
47,7,CVX,116.77,117.04,117.36,115.82,7451292,43614,0.013188318999999999,0.22054739,0,0,1
48,0,DIS,138.04,137.6,138.76,137.33,7024396,43623,0.010359316,-0.159549519,1,0,0
49,1,DIS,137.21,136.51,137.44,135.73,6027316,43622,0.012462648,-0.165426867,1,0,0
50,2,DIS,135.94,135.41,136.0,134.9399,6842759,43621,0.007798293,0.119168745,1,0,0
51,3,DIS,134.82,133.45,134.88,132.92,8247513,43620,0.014537902,0.170324557,1,0,0
52,4,DIS,132.47,132.02,132.95,131.49,7901387,43619,0.011021363000000001,-0.043805727,1,0,0
53,5,DIS,132.04,130.96,132.93,130.78,7420899,43616,0.016282945,-0.06474795,1,0,0
54,6,DIS,132.2,131.88,132.68,131.335,5273987,43615,0.010173979,-0.40707571,1,0,0
55,7,DIS,131.57,131.96,132.15,130.7783,7749591,43614,0.010425629,0.319449633,0,0,0
56,0,GE,9.98,9.9,10.045,9.815,41067299,43623,0.023046092,0.782348238,1,0,0
57,1,GE,9.92,9.89,10.0,9.77,38528006,43622,0.023185484,-0.065907719,0,0,1
58,2,GE,9.89,10.07,10.09,9.82,41163379,43621,0.027300302999999998,0.06402227099999999,1,0,0
59,3,GE,10.0,9.61,10.0,9.585,61404706,43620,0.0415,0.329638041,1,0,0
60,4,GE,9.53,9.3,9.54,9.25,47273979,43619,0.03043022,-0.29891131,1,0,0
61,5,GE,9.44,9.34,9.47,9.3,46337864,43616,0.018008475,-0.020201945,1,0,0
62,6,GE,9.47,9.37,9.51,9.29,50531402,43615,0.023231257,0.082988752,1,0,0
63,7,GE,9.37,9.31,9.39,9.15,44587955,43614,0.025613661,-0.133297143,0,0,1
64,0,GOOG,1066.04,1050.63,1070.92,1048.4,1801757,43623,0.021124911,-39.07849616,1,0,0
65,1,GOOG,1044.34,1044.99,1047.49,1033.7,1703244,43622,0.013204512,-0.057838454000000004,0,0,0
